geohash_id	consumption_level	activity_level	date_id
4885e281g	69.8798828125	64.86898803710938	20230404
4885e281g	72.87427520751953	74.79776000976562	20230405
4885e281g	75.46012878417969	72.19155883789062	20230406
4885e281g	71.60142517089844	74.3919677734375	20230407
5324516fr	70.63845825195312	69.91108703613281	20230404
5324516fr	69.2457275390625	71.0222396850586	20230405
5324516fr	70.80160522460938	68.82965850830078	20230406
5324516fr	81.13069152832031	70.46382141113281	20230407
7941bac5t	76.3432388305664	76.52542114257812	20230404
7941bac5t	78.24191284179688	78.18659973144531	20230405
7941bac5t	73.83261108398438	76.3542251586914	20230406
7941bac5t	72.69859313964844	74.4332275390625	20230407
94bf2e47u	62.3090705871582	70.30812072753906	20230404
94bf2e47u	73.93611907958984	72.67579650878906	20230405
94bf2e47u	70.05810546875	71.02890014648438	20230406
94bf2e47u	80.34158325195312	70.62849426269531	20230407
651310f3v	68.48958587646484	69.20783996582031	20230404
651310f3v	68.75079345703125	61.777252197265625	20230405
651310f3v	70.9275894165039	70.46443939208984	20230406
651310f3v	72.27997589111328	79.2380142211914	20230407
5da786a8w	69.7077865600586	70.35320281982422	20230404
5da786a8w	72.59878540039062	74.27896881103516	20230405
5da786a8w	76.65692138671875	73.2061996459961	20230406
5da786a8w	82.0384292602539	72.36638641357422	20230407
9292842fy	70.37187194824219	70.32904815673828	20230404
9292842fy	75.08112335205078	74.61699676513672	20230405
9292842fy	70.48523712158203	69.74068450927734	20230406
9292842fy	73.14202117919922	75.16956329345703	20230407
abb13720z	69.91169738769531	70.02598571777344	20230404
abb13720z	72.36158752441406	72.28803253173828	20230405
abb13720z	72.71971893310547	75.35050964355469	20230406
abb13720z	81.83067321777344	70.8182373046875	20230407
babadee5r	67.70104217529297	70.74820709228516	20230404
babadee5r	69.47308349609375	71.36112976074219	20230405
babadee5r	75.38319396972656	76.81439971923828	20230406
babadee5r	73.3465805053711	77.78400421142578	20230407
c2382486x	66.37187194824219	70.28614807128906	20230404
c2382486x	72.67204284667969	70.97727966308594	20230405
c2382486x	70.56637573242188	70.76566314697266	20230406
c2382486x	75.29862976074219	70.49010467529297	20230407
6b9789f2z	67.40682983398438	69.96498107910156	20230404
6b9789f2z	70.23876190185547	68.60295104980469	20230405
6b9789f2z	70.56980895996094	71.11531066894531	20230406
6b9789f2z	70.77593231201172	74.10853576660156	20230407
b5dbab8e1	76.92022705078125	74.56194305419922	20230404
b5dbab8e1	75.36396026611328	63.764244079589844	20230405
b5dbab8e1	70.562255859375	70.18819427490234	20230406
b5dbab8e1	77.03043365478516	68.64289855957031	20230407
dc36a53e3	70.05902099609375	70.18548583984375	20230404
dc36a53e3	69.40838623046875	69.0694580078125	20230405
dc36a53e3	70.84844207763672	70.18758392333984	20230406
dc36a53e3	81.37089538574219	70.11835479736328	20230407
66c0fb934	70.02935028076172	76.83477783203125	20230404
66c0fb934	68.97000122070312	69.98548889160156	20230405
66c0fb934	75.90557098388672	75.74299621582031	20230406
66c0fb934	81.31451416015625	70.57704162597656	20230407
b72036c45	75.6530532836914	76.36572265625	20230404
b72036c45	69.30908966064453	69.79905700683594	20230405
b72036c45	70.71749114990234	70.58063507080078	20230406
b72036c45	72.66815185546875	74.18846130371094	20230407
a0f907866	76.72236633300781	73.84657287597656	20230404
a0f907866	68.94830322265625	67.72908020019531	20230405
a0f907866	74.49565887451172	75.77210235595703	20230406
